top - 23:03:21 up 4 days, 11:45,  1 user,  load average: 4.99, 5.71, 4.71
Tasks: 552 total,   1 running, 551 sleeping,   0 stopped,   0 zombie
%Cpu(s): 45.2 us, 25.8 sy,  0.0 ni, 28.0 id,  0.0 wa,  0.0 hi,  1.1 si,  0.0 st
MiB Mem :  15677.3 total,    164.4 free,  11948.5 used,   3564.3 buff/cache
MiB Swap:   1024.0 total,      0.0 free,   1024.0 used.    812.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3903 vinaypa+  20   0   32.0g    412    408 S   0.0   0.0   0:00.00 chrome_+
   3909 vinaypa+  20   0   32.3g   3476   2304 S   0.0   0.0   0:00.02 chrome
   3910 vinaypa+  20   0   32.3g   5464   1316 S   0.0   0.0   0:00.02 chrome
   3911 vinaypa+  20   0   32.0g    964    956 S   0.0   0.0   0:00.00 nacl_he+
   3914 vinaypa+  20   0   32.3g   5008    604 S   0.0   0.0   0:02.62 chrome
   3934 vinaypa+  20   0   33.0g 113048  35196 S   0.0   0.7  48:43.73 chrome
   3939 vinaypa+  20   0   32.4g  64844  35692 S   0.0   0.4  20:45.72 chrome
   3948 vinaypa+  20   0   32.3g  11708    148 S   0.0   0.1   0:17.52 chrome
   4131 vinaypa+  20   0 1129.9g 220964  40508 S   0.0   1.4  18:42.86 chrome
   4146 vinaypa+  20   0   32.6g   3812   2260 S   0.0   0.0  11:03.84 chrome
   4172 vinaypa+  20   0 1129.9g   6772    972 S   0.0   0.0   0:02.06 chrome
   4223 vinaypa+  20   0 1129.9g  36104   6244 S   0.0   0.2   0:08.73 chrome
   4235 vinaypa+  20   0 1129.9g   7164    980 S   0.0   0.0   0:02.34 chrome
   4247 vinaypa+  20   0 1129.9g  14300    808 S   0.0   0.1   0:04.80 chrome
   4262 vinaypa+  20   0 1129.9g  27176   1148 S   0.0   0.2   0:09.88 chrome
   4281 vinaypa+  20   0 1129.9g  21896   3368 S   0.0   0.1   0:17.95 chrome
   4293 vinaypa+  20   0 1130.9g  88044   6712 S   0.0   0.5   8:47.24 chrome
   4323 vinaypa+  20   0 1129.9g  13636   1444 S   0.0   0.1   0:03.78 chrome
   4362 vinaypa+  20   0 1129.9g  12568   3908 S   0.0   0.1   0:07.13 chrome
   4861 vinaypa+  20   0  387896   2412   1452 S   0.0   0.0   0:00.28 gvfsd-n+
   4874 vinaypa+  20   0  315108   1812   1384 S   0.0   0.0   0:00.39 gvfsd-d+
   5016 vinaypa+  20   0  208896  10012   4512 S   0.0   0.1  18:42.05 Socket +
   5069 vinaypa+  20   0 2493872  91352  23328 S   0.0   0.6   0:57.33 Privile+
   5114 vinaypa+  20   0 2430620  27988  17472 S   0.0   0.2   0:35.33 WebExte+
   5178 vinaypa+  20   0 4393224   1.5g  49000 S   0.0   9.8  40:16.65 Isolate+
   5182 vinaypa+  20   0 3880052 971760 100964 S   0.0   6.1  71:12.58 Isolate+
   5195 vinaypa+  20   0 2520580  70176  29452 S   0.0   0.4  11:51.64 Isolate+
   5248 vinaypa+  20   0 4414376   1.4g  35644 S   0.0   8.9 144:46.87 Isolate+
   5286 vinaypa+  20   0  327384   7680   5548 S   0.0   0.0   4:28.74 RDD Pro+
   5288 vinaypa+  20   0  324180   6564   4440 S   0.0   0.0   0:22.81 Utility+
   5330 vinaypa+  20   0 3696052 809568  50352 S   0.0   5.0 267:06.50 Isolate+
   5333 vinaypa+  20   0 2466276  56564  17112 S   0.0   0.4   5:19.02 Isolate+
   5528 vinaypa+  20   0 2728324 117020  18344 S   0.0   0.7   5:18.22 Isolate+
   5862 vinaypa+  20   0 1129.9g 126212  41288 S   0.0   0.8   7:18.44 chrome
   6088 vinaypa+  20   0 2761036 174940  23392 S   0.0   1.1  23:17.67 Isolate+
   7405 vinaypa+  20   0 2466948  68132  18372 S   0.0   0.4   0:38.88 Isolate+
   9135 vinaypa+  20   0  889812  46336  15260 S   0.0   0.3   4:07.58 gnome-t+
   9146 vinaypa+  20   0   11924   3456    732 S   0.0   0.0   0:00.44 bash
   9252 vinaypa+  20   0 1129.9g  47172   4948 S   0.0   0.3   1:36.72 chrome
  14921 geoclue   20   0  902216   7864   1748 S   0.0   0.0   0:10.41 geoclue
  15846 vinaypa+  20   0 2477116  79012  16236 S   0.0   0.5   0:47.23 Isolate+
  16529 root      20   0 1230608   1052    280 S   0.0   0.0   0:00.17 docker-+
  16543 root      20   0 1230608   1192    420 S   0.0   0.0   0:00.18 docker-+
  16557 root      20   0 1230608   1084    312 S   0.0   0.0   0:00.17 docker-+
  16571 root      20   0 1156620   1024    244 S   0.0   0.0   0:00.17 docker-+
  16584 root      20   0 1231120   1136      0 S   0.0   0.0   0:00.96 docker-+
  16599 root      20   0  712200   2492      0 S   0.0   0.0   0:23.19 contain+
  16621 root      20   0   23628   4712    436 S   0.0   0.0   0:21.88 systemd
  16898 root      19  -1  230172 120404 119696 S   0.0   0.8   3:01.92 systemd+
  16911 tcpdump   20   0    7008    536     88 S   0.0   0.0   0:00.02 dbus-da+
  16915 root      20   0 2833636  27192   1804 S   0.0   0.2  36:31.10 contain+
  16924 root      20   0   12180    400    232 S   0.0   0.0   0:00.08 sshd
 133692 vinaypa+  20   0 1129.9g  15656   1932 S   0.0   0.1   0:03.16 chrome
 133726 vinaypa+  20   0 1129.9g  11672    900 S   0.0   0.1   0:01.89 chrome
 137694 vinaypa+  20   0   11924   3392    784 S   0.0   0.0   0:00.70 bash
 153499 vinaypa+  20   0 2437084  50200  17828 S   0.0   0.3   0:08.45 Isolate+
 206408 vinaypa+  20   0 1129.9g  12452    364 S   0.0   0.1   0:01.86 chrome
 226860 vinaypa+  20   0 2547652  92804  17016 S   0.0   0.6   0:38.51 Isolate+
 233534 vinaypa+  20   0 2532688  86508  18148 S   0.0   0.5   0:51.40 Isolate+
 416327 vinaypa+  20   0 1129.9g  48696   5256 S   0.0   0.3   0:31.34 chrome
 442240 vinaypa+  20   0   32.2g  10660   2240 S   0.0   0.1   0:00.11 lens
 442241 vinaypa+  20   0   32.2g   9452   1164 S   0.0   0.1   0:00.11 lens
 442243 vinaypa+  20   0   32.2g   8772    416 S   0.0   0.1   0:00.00 lens
 442278 vinaypa+  20   0   32.0g    844    592 S   0.0   0.0   0:00.03 chrome_+
 442296 vinaypa+  20   0   32.5g  36184   3188 S   0.0   0.2   0:51.32 lens
 442301 vinaypa+  20   0   32.3g  13832   3912 S   0.0   0.1   0:08.32 lens
 443574 vinaypa+  20   0   40.4g  23808   1636 S   0.0   0.1   0:04.56 lens
 443605 vinaypa+  20   0   40.5g 153932  12700 S   0.0   1.0   4:59.18 lens
 443606 vinaypa+  20   0 1485432  19028   9400 S   0.0   0.1   3:10.38 lens-k8+
 448026 vinaypa+  20   0 1129.9g  45644   2744 S   0.0   0.3   0:13.76 chrome
 600806 vinaypa+  20   0 1130.9g  52576   3844 S   0.0   0.3   2:50.71 chrome
 673919 vinaypa+  20   0   11924   3444    800 S   0.0   0.0   0:00.31 bash
